movie,user,is_rotten,date,text,url,scrape date
ant-man-and-the-wasp-quantumania,Jeffrey Peterson,False,2023-09-07,"Ant-Man and the Wasp: Quantumania is a film that also manages to balance VFX spectacle and groundedness in its third act. And although the conclusion feels slightly rushed, the ending is better than that of many MCU films we’ve seen lately.",https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania/reviews,2023-10-20
ant-man-and-the-wasp-quantumania,Lee Zumpe,False,2023-08-23,"It may feel like the director ordered a truckload of kitchen sinks to throw into this chaotic, complicated-yet-dumb, serious-yet-silly, imperfect extravaganza, but he still manages to serve up an astonishing tale.",https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania/reviews,2023-10-20
ant-man-and-the-wasp-quantumania,Cris Parker,False,2023-08-16,While I still like the film overall. Every MCU movie now just becoming setup for the next is making characters like Ant-Man lose some of their charm.,https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania/reviews,2023-10-20
ant-man-and-the-wasp-quantumania,Sarah Vincent,True,2023-08-16,"the two-dimensional supporting characters and bloated, derivative universe-building feel like pink filler for too long before flashbacks reveal Janet and Kang’s time together and give us some pique of interest.",https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania/reviews,2023-10-20
ant-man-and-the-wasp-quantumania,Rick Bentley,True,2023-08-09,The errors are easy to miss because the script and all of the acting performances are drenched in a goop of CGI characters that obliterate everything in their path.,https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania/reviews,2023-10-20
ant-man-and-the-wasp-quantumania,Manuel São Bento,True,2023-07-25,"Excessive, repetitive, unnecessary dialogue driven by exposition, along with a lack of stronger tonal balance and an underdeveloped narrative devoid of true stakes - character arcs are almost non-existent - make this an overall very inconsistent watch.",https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania/reviews,2023-10-20
ant-man-and-the-wasp-quantumania,Matthew Creith,True,2023-07-25,This is yet another Marvel movie where the tired trope makes its way into driving the plot: A character does something foolish which creates havoc for their world while most of the original cast is separated from one another the bulk of the time.,https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania/reviews,2023-10-20
ant-man-and-the-wasp-quantumania,Hector A. Gonzalez,True,2023-07-25,"For most of its run-time, it feels like a filler episode of an anime, with only its climax operating as a narrative “threshold”.",https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania/reviews,2023-10-20
ant-man-and-the-wasp-quantumania,Zach Pope,True,2023-07-25,"Ant Man And The Wasp Quantumania  The film’s first act kicks off as a badass Star Wars Adventure BUT slowly tires out towards the middle. Fun? Absolutely! Exposition heavy? Yes!
A mixed bag overall",https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania/reviews,2023-10-20
ant-man-and-the-wasp-quantumania,Pramit Chatterjee,True,2023-07-23,Marvel isn’t in the business of telling stories. They are in the business of selling action figures. That’s why you have so many characters wearing brand-new but hideous-looking costumes frolicking around to pad the runtime.,https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania/reviews,2023-10-20
